,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
93,"Bán gấp CH A5 Học Viện Quân Y, giá thỏa thuận, 71m2, 2PN, 2WC, Hà Đông, HN",41991699.0,2025-05-01 00:00:00,0.0,0.0,71.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Đông
94,"Chính chủ gửi bán lô 137m2 tại thôn 3 Phú Cát, Quốc Oai full TC. Cách trục chính chỉ 40m",41635487.0,2025-10-01 00:00:00,25.18,3.45,137.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Quốc Oai
95,"Căn 3 ngủ 4 ngủ giá rẻ nhất toà, nhận nhà vào ở luôn sẵn nội thất mới đẹp, đã có sổ, có 2 slot ô tô",41975919.0,2025-09-01 00:00:00,93.17,15.0,161.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
96,"CC bán lô đất VIP tại Xuân Đỉnh 99m2, MT 6m, nở hậu, ô tô tránh, hai thoáng.",41952726.0,2024-12-28 00:00:00,257.58,25.5,99.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Bắc Từ Liêm
97,Bán căn hộ 4PN 3WC 172m2 view Hồ Tây hướng Đông tòa N03T2 Taseco cao cấp nhất Ngoại Giao Đoàn,41481859.0,2025-11-01 00:00:00,0.0,0.0,172.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc Từ Liêm
98,"Bán đất Hà Huy Tập, 5 tỷ, 50.3m2, oto phi ầm ầm, xe vào tận đất",41862927.0,2025-10-01 00:00:00,99.4,5.0,50.3,0.0,0.0,Sổ đỏ/ Sổ hồng.,NAN,Gia Lâm
99,"Chính chủ! Bán mặt phố Văn Cao DT 76m2 x 5 tầng MT 7m, quy hoạch ổn định",41754052.0,2025-11-01 00:00:00,434.21,33.0,76.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Ba Đình
101,"Bán căn hộ phố Minh Khai Sunshine Garden (cạnh Times City). 3PN 6,4 tỷ E Minh Anh 0944 394 ***",39568996.0,2025-04-01 00:00:00,64.0,6.4,100.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hai Bà Trưng
102,"BÁN NHÀ MẶT PHỐ THANH XUÂN, VỈA HÈ KINH DOANH SẦM UẤT, 8 TẦNG THANG MÁY, DTSD1000M2, 56.X TỶ",42028158.0,2025-11-01 00:00:00,500.0,56.5,113.0,0.0,0.0,NAN,NAN,Thanh Xuân
103,"Tuyệt đẹp. Bán đất Đông Mỹ, ngõ ô tô tải, sổ vuông, 4.35 tỷ",41624481.0,2025-10-01 00:00:00,90.62,4.35,48.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Thanh Trì
104,"Chính chủ bán nhanh căn Sapphire 100m2 3N2W giá 5,8 tỷ. Full NT. Lh 0962 347 ***",41607538.0,2025-10-01 00:00:00,58.0,5.8,100.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Thanh Xuân
105,"Cần bán gấp căn 76m; 85m; tại PentStudio Tây Hồ nội thất đẹp, view hồ. LH 0839 185 ***",39418185.0,2025-09-01 00:00:00,76.32,5.8,76.0,1.0,2.0,NAN,NAN,Tây Hồ
106,"Bán nhà đẹp phân lô đường Chiến Thắng- Văn Quán, HÀ ĐÔNG giá: 12.5 tỷ",42027119.0,2025-11-01 00:00:00,297.62,12.5,42.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Đông
